22.83%,18.59%,10.47%,24.82%,
23.39%,19.32%,11.06%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.39%,19.32%,11.09%,25.78%,
23.74%,19.49%,11.20%,26.99%,
27.84%,22.66%,13.97%,32.05%,
28.04%,22.72%,14.03%,32.77%,
28.31%,22.94%,14.20%,33.49%,
28.43%,23.06%,14.29%,33.98%,
28.63%,23.22%,14.43%,34.22%,
28.72%,23.28%,14.51%,34.46%,
28.81%,23.39%,14.60%,34.70%,
28.96%,23.45%,14.68%,34.94%,
28.96%,23.45%,14.68%,34.94%,
33.68%,29.48%,18.61%,38.07%,
33.80%,29.48%,18.64%,38.07%,
33.80%,29.48%,18.64%,38.07%,
33.80%,29.48%,18.64%,38.07%,
33.80%,29.48%,18.64%,38.07%,
33.88%,29.53%,18.87%,38.07%,
34.03%,29.53%,18.90%,38.07%,
34.18%,29.53%,18.93%,38.07%,
34.18%,29.53%,18.93%,38.07%,
34.18%,29.53%,18.93%,38.07%,
34.39%,29.65%,19.21%,38.55%,
40.84%,36.55%,24.50%,46.99%,
40.84%,36.55%,24.50%,46.99%,
40.84%,36.55%,24.50%,46.99%,
40.84%,36.55%,24.50%,46.99%,
40.84%,36.55%,24.50%,46.99%,
41.70%,37.85%,25.32%,47.23%,
43.32%,39.52%,26.79%,48.92%,
43.53%,39.80%,27.07%,48.92%,
44.94%,40.99%,28.20%,50.36%,
45.33%,41.27%,28.57%,50.60%,
45.33%,41.33%,28.63%,50.60%,
45.33%,41.33%,28.66%,50.60%,
45.33%,41.33%,28.66%,50.60%,
45.33%,41.33%,28.66%,50.60%,
45.33%,41.33%,28.68%,50.60%,
45.33%,41.33%,28.68%,50.60%,
45.33%,41.33%,28.68%,50.60%,
45.36%,41.39%,28.74%,50.60%,
45.36%,41.39%,28.77%,50.60%,
45.36%,41.39%,28.77%,50.60%,
46.00%,42.18%,29.42%,50.84%,
46.00%,42.18%,29.42%,50.84%,
46.00%,42.18%,29.42%,50.84%,
46.15%,42.40%,29.56%,51.08%,
46.15%,42.40%,29.56%,51.08%,
46.15%,42.40%,29.56%,51.08%,
46.15%,42.40%,29.56%,51.08%,
46.15%,42.40%,29.56%,51.08%,
46.15%,42.40%,29.56%,51.08%,
46.18%,42.40%,29.62%,51.08%,
46.18%,42.40%,29.62%,51.08%,
46.18%,42.40%,29.62%,51.08%,
46.18%,42.40%,29.65%,51.08%,
46.18%,42.40%,29.65%,51.08%,
46.18%,42.40%,29.65%,51.08%,
46.18%,42.40%,29.67%,51.08%,
46.18%,42.40%,29.67%,51.08%,
46.18%,42.40%,29.67%,51.08%,
46.36%,42.57%,29.84%,51.08%,
46.36%,42.57%,29.84%,51.08%,
46.36%,42.57%,29.84%,51.08%,
46.36%,42.57%,29.84%,51.08%,
46.36%,42.57%,29.84%,51.08%,
46.36%,42.57%,29.84%,51.08%,
46.36%,42.57%,29.87%,51.08%,
46.36%,42.57%,29.87%,51.08%,
46.36%,42.57%,29.87%,51.08%,
46.48%,42.63%,29.96%,51.08%,
46.48%,42.63%,29.96%,51.08%,
46.48%,42.63%,29.96%,51.08%,
46.68%,42.86%,30.13%,51.08%,
46.68%,42.86%,30.13%,51.08%,
46.98%,43.54%,30.55%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.12%,43.65%,30.64%,51.08%,
47.27%,43.82%,30.75%,51.08%,
47.27%,43.82%,30.75%,51.08%,
47.27%,43.82%,30.75%,51.08%,
47.63%,44.33%,31.06%,51.57%,
47.80%,44.44%,31.15%,51.57%,
47.80%,44.44%,31.15%,51.57%,
48.04%,45.69%,31.88%,51.57%,
48.04%,45.69%,31.88%,51.57%,
48.13%,45.80%,32.02%,51.57%,
48.13%,45.80%,32.05%,51.57%,
48.13%,45.80%,32.05%,51.57%,
48.25%,46.03%,32.19%,51.57%,
48.25%,46.03%,32.19%,51.57%,
48.25%,46.03%,32.19%,51.57%,
50.37%,47.69%,33.44%,54.22%,
50.37%,47.69%,33.44%,54.22%,
50.37%,47.69%,33.44%,54.22%,
50.55%,47.75%,33.58%,54.94%,
50.55%,47.75%,33.58%,54.94%,
50.55%,47.75%,33.58%,54.94%,
51.16%,48.03%,33.78%,54.94%,
51.16%,48.03%,33.78%,54.94%,
51.16%,48.03%,33.78%,54.94%,
54.62%,50.86%,36.04%,58.55%,
54.62%,51.09%,36.18%,58.55%,
54.62%,51.32%,36.32%,58.55%,
54.62%,51.32%,36.32%,58.55%,
54.62%,51.32%,36.32%,58.55%,
54.62%,51.32%,36.32%,58.55%,
54.67%,51.32%,36.52%,59.04%,
54.67%,51.32%,36.52%,59.04%,
54.67%,51.32%,36.52%,59.04%,
54.67%,51.32%,36.52%,59.04%,
54.67%,51.32%,36.55%,59.04%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.82%,51.32%,36.61%,
54.91%,51.37%,36.66%,
54.91%,51.37%,36.66%,
54.91%,51.37%,36.66%,
55.38%,51.88%,37.40%,60.24%,
55.38%,51.88%,37.40%,60.24%,
55.41%,51.88%,37.48%,60.24%,
55.41%,51.88%,37.48%,60.24%,
55.41%,51.88%,37.48%,60.24%,
55.41%,51.88%,37.48%,60.24%,
55.41%,51.88%,37.48%,60.24%,
55.41%,51.88%,37.48%,60.24%,
55.41%,51.88%,37.48%,60.24%,
55.41%,51.94%,37.57%,60.24%,
55.41%,51.94%,37.57%,60.24%,
55.41%,51.94%,37.57%,60.24%,
55.50%,51.99%,37.62%,60.24%,
55.50%,51.99%,37.62%,60.24%,
55.50%,51.99%,37.62%,60.24%,
55.59%,52.05%,37.68%,60.24%,
55.59%,52.05%,37.68%,60.24%,
55.59%,52.05%,37.68%,60.24%,
55.71%,52.16%,37.79%,60.24%,
55.71%,52.16%,37.79%,60.24%,
55.71%,52.16%,37.79%,60.24%,
55.74%,52.16%,37.82%,60.24%,
55.74%,52.16%,37.82%,60.24%,
55.74%,52.16%,37.88%,60.24%,
55.77%,52.16%,37.91%,60.24%,
55.77%,52.16%,37.91%,60.24%,
55.77%,52.16%,37.91%,60.24%,
55.79%,52.16%,37.93%,60.24%,
55.79%,52.16%,37.93%,60.24%,
55.79%,52.16%,37.93%,60.24%,
55.88%,52.16%,38.05%,60.72%,
55.88%,52.16%,38.05%,60.72%,
55.88%,52.16%,38.10%,60.72%,
55.97%,52.22%,38.16%,60.72%,
55.97%,52.22%,38.16%,60.72%,
55.97%,52.22%,38.16%,60.72%,
56.00%,52.22%,38.19%,60.72%,
56.00%,52.22%,38.19%,60.72%,
56.00%,52.22%,38.19%,60.72%,
56.15%,52.33%,38.39%,61.20%,
56.15%,52.33%,38.39%,61.20%,
56.53%,52.62%,38.78%,62.65%,
56.59%,52.62%,38.87%,62.65%,
56.59%,52.62%,38.87%,62.65%,
56.59%,52.62%,38.87%,62.65%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
56.97%,52.79%,39.01%,62.89%,
57.06%,52.79%,39.04%,62.89%,
57.36%,52.96%,39.29%,62.89%,
57.36%,52.96%,39.29%,62.89%,
57.42%,53.07%,39.58%,63.13%,
57.80%,53.24%,39.89%,64.10%,
57.80%,53.52%,40.11%,64.10%,
57.80%,53.52%,40.11%,64.10%,
